Vial,Day,Numbfemales,Date,Initials,Notes
30,V,5,2/11,UHA,15 dead flies
72,V,13,2/11,UHA,10 dead flies
103,V,10,2/11,UHA,
42,V,5,2/11,UHA,
71,V,10,2/11,UHA,10 dead flies
54,V,8,2/11,UHA,
68,V,10,2/11,UHA,
58,V,3,2/11,UHA,
72,V,13,2/11,UHA,
74,V,10,2/11,UHA,
73,V,2,2/11,UHA,
66,V,8,2/11,UHA,
77,V,13,2/11,UHA,
60,V,0,2/11,UHA,5 dead
75,V,4,2/11,UHA,
67,V,13,2/11,UHA,
85,V,8,2/11,UHA,
128,V,3,2/11,UHA,
87,V,12,2/11,UHA,
78,V,5,2/11,UHA,
86,V,12,2/11,UHA,
97,V,6,2/11,UHA,
41,V,1,2/11,UHA,
62,V,1,2/11,UHA,
29,V,1,2/11,UHA,
64,V,2,2/11,UHA,20 dead flies
62,V,1,2/11,UHA,20 dead 
63,V,5,2/11,UHA,
101,Y,6,2/11,UHA,
67,Y,5,2/11,UHA,
96,Y,9,2/11,UHA,
70,Y,18,2/11,UHA,
98,Y,9,2/11,UHA,
71,Y,10,2/11,UHA,
120,Y,9,2/11,UHA,
25,Y,0,2/11,UHA,
74,Y,3,2/11,UHA,
117,Y,4,2/11,UHA,
114,Y,14,2/11,UHA,
89,Y,17,2/11,UHA,
62,Y,10,2/11,UHA,
28,Y,3,2/11,UHA,
92,Y,18,2/11,UHA,
68,Y,5,2/11,UHA,
120,W,2,2/11,ABK,1 dead
122,W,4,2/11,ABK,1 dead
113,W,4,2/11,ABK,
111,W,6,2/11,ABK,2 dead
112,W,2,2/11,ABK,1 dead
108,W,3,2/11,ABK,1 dead
110,W,5,2/11,ABK,4 dead
114,W,15,2/11,ABK,7 dead
118,W,8,2/11,ABK,4 dead
127,W,6,2/11,ABK,
38,Z,2,3/11,ABK,
101,Z,21,3/11,ABK,
14,Z,6,3/11,ABK,
105,Z,6,3/11,ABK,
104,Z,19,3/11,ABK,
96,Z,24,3/11,ABK,
11,Z,12,3/11,ABK,
95,Z,3,3/11,ABK,
89,Z,8,3/11,ABK,
98,Z,23,3/11,ABK,
124,Z,6,3/11,ABK,
103,Z,19,3/11,ABK,
108,Z,5,3/11,ABK,
13,Z,13,3/11,ABK,
5,Z,7,3/11,ABK,
6,Z,1,3/11,ABK,2 dead
8,Z,2,3/11,ABK,
97,Z,6,3/11,ABK,
87,Z,9,3/11,ABK,
116,Z,5,3/11,ABK,
87,Y,5,2/11,NRR,0
84,Y,16,2/11,NRR,0
64,Y,2,2/11,NRR,0
75,Y,18,2/11,NRR,0
97,Y,10,2/11,NRR,0
30,Y,4,2/11,NRR,0
103,Y,20,2/11,NRR,0
65,Y,2,2/11,NRR,0
104,Y,18,2/11,NRR,0
121,Y,3,2/11,NRR,0
66,Y,3,2/11,NRR,0
108,Y,5,2/11,NRR,0
110,Y,14,2/11,NRR,0
73,Y,3,2/11,NRR,0
58,Y,1,2/11,NRR,0
105,Y,9,2/11,NRR,0
76,Y,16,2/11,NRR,0
125,Y,9,2/11,NRR,0
116,Y,8,2/11,NRR,0
72,Y,18,2/11,NRR,0
127,Y,7,2/11,NRR,0
91,Y,4,2/11,NRR,0
77,Y,2,2/11,NRR,0
9,Z,12,2/11,ABK,0
101,Z,9,2/11,ABK,0
98,Z,7,2/11,ABK,0
91,Z,8,2/11,ABK,0
89,Z,5,2/11,ABK,0
87,Z,11,2/11,ABK,0
84,Z,6,2/11,ABK,1 dead
82,Z,4,2/11,ABK,0
77,Z,21,2/11,ABK,0
98,X,10,2/11,ABK,2 dead
40,X,6,2/11,ABK,3 dead
70,X,5,2/11,ABK,1 dead
72,X,3,2/11,ABK,0
76,X,5,2/11,ABK,4 dead
67,X,5,2/11,ABK,3 dead
73,X,4,2/11,ABK,2 dead
64,X,4,2/11,ABK,1 dead
101,X,3,2/11,ABK,2 dead
84,X,3,2/11,ABK,1 dead
77,X,2,2/11,ABK,1 dead
45,X,4,2/11,ABK,1 dead
62,X,2,2/11,ABK,3 dead
75,X,1,2/11,ABK,1 dead
121,X,5,2/11,ABK,0
74,X,3,2/11,ABK,4 dead
70,Y,6,3/11,NRR,0
75,Y,4,3/11,NRR,0
84,Y,5,3/11,NRR,0
87,Y,2,3/11,NRR,0
111,Y,9,3/11,NRR,0
112,Y,12,3/11,NRR,0
120,Y,7,3/11,NRR,0
121,Y,19,3/11,NRR,0
123,Y,13,3/11,NRR,0
110,Y,17,3/11,NRR,0
122,Y,7,3/11,NRR,0
108,Y,11,3/11,NRR,0
105,Y,11,3/11,NRR,0
128,Y,8,3/11,NRR,0
118,Y,11,3/11,NRR,0
117,Y,15,3/11,NRR,0
116,Y,21,3/11,NRR,0
115,Y,4,3/11,NRR,0
104,Y,2,3/11,NRR,0
103,Y,2,3/11,NRR,0
89,Y,1,3/11,NRR,0
114,Y,7,3/11,NRR,0
113,Y,25,3/11,NRR,0
127,Y,8,3/11,NRR,0
125,Y,2,3/11,NRR,0
122,Z,9,3/11,ABK,0
125,Z,7,3/11,ABK,0
33,Z,1,3/11,ABK,0
123,Z,9,3/11,ABK,0
67,Z,12,3/11,ABK,0
101,X,0,4/11,KEW,0
105,X,7,4/11,KEW,0
108,X,7,4/11,KEW,0
111,X,5,4/11,KEW,0
115,X,8,4/11,KEW,0
117,X,3,4/11,KEW,0
121,X,8,4/11,KEW,0
123,X,5,3/11,UHA,0
114,X,18,3/11,UHA,0
108,X,26,3/11,UHA,0
65,X,0,3/11,UHA,0
67,X,2,3/11,UHA,0
105,X,22,3/11,UHA,0
113,X,17,3/11,UHA,0
76,X,1,3/11,UHA,0
112,X,5,3/11,UHA,0
103,X,29,3/11,UHA,0
120,X,5,3/11,UHA,0
87,X,2,3/11,UHA,0
101,X,15,3/11,UHA,0
111,X,17,3/11,UHA,0
38,X,0,3/11,UHA,4 dead
89,X,0,3/11,UHA,4 dead
120,X,23,3/11,UHA,0
128,X,28,3/11,UHA,0
92,X,2,3/11,UHA,0
118,X,22,3/11,UHA,0
128,X,18,3/11,UHA,0
127,X,10,3/11,UHA,0
125,X,13,3/11,UHA,0
97,X,5,3/11,UHA,0
117,X,15,3/11,UHA,0
97,X,2,3/11,UHA,0
104,X,3,3/11,UHA,0
124,X,5,3/11,UHA,0
98,X,2,3/11,UHA,0
115,X,28,3/11,UHA,0
109,X,7,3/11,UHA,0
116,X,5,3/11,UHA,0
122,X,13,3/11,UHA,0
121,X,15,3/11,UHA,0
103,X,2,4/11,KEW,0
120,X,6,4/11,KEW,0
122,X,2,4/11,KEW,0
108,X,10,4/11,KEW,0
105,X,1,4/11,KEW,0
112,X,4,4/11,KEW,0
114,X,11,4/11,KEW,0
118,X,7,4/11,KEW,0
113,X,0,4/11,KEW,0
125,X,3,4/11,KEW,0
128,X,1,4/11,KEW,0
30,X,3,4/11,KEW,0
110,Z,15,4/11,AFB,0
111,Z,18,4/11,AFB,0
112,Z,7,4/11,AFB,0
123,Z,15,4/11,AFB,0
114,Z,28,4/11,AFB,0
115,Z,21,4/11,AFB,0
117,Z,9,4/11,AFB,0
121,Z,8,4/11,AFB,0
109,Z,5,4/11,AFB,0
103,Z,6,4/11,AFB,0
101,Z,2,4/11,AFB,0
11,Z,4,4/11,AFB,0
117,Y,12,4/11,UHA,0
121,Y,5,4/11,UHA,0
118,Y,3,4/11,UHA,0
105,Y,2,4/11,UHA,0
108,Y,2,4/11,UHA,0
109,Y,1,4/11,UHA,0
122,Y,0,4/11,UHA,0
111,Y,3,4/11,UHA,0
123,Y,1,4/11,UHA,0
112,Y,3,4/11,UHA,0
124,Y,0,4/11,UHA,0
127,Y,3,4/11,UHA,0
113,Y,5,4/11,UHA,0
114,Y,8,4/11,UHA,0
115,Y,12,4/11,UHA,0
116,Y,15,4/11,UHA,0
12,Y,3,4/11,UHA,0
35,Y,7,4/11,UHA,0
110,Y,10,4/11,UHA,0
119,X,1,4/11,UHA,0
108,X,2,4/11,UHA,0
120,X,1,4/11,UHA,0
113,X,0,4/11,UHA,0
120,Z,30,4/11,ABK,0
9,Z,11,4/11,ABK,0
104,Z,1,4/11,ABK,4 dead
118,Z,27,4/11,ABK,1 dead
122,Z,3,4/11,ABK,0
116,Z,24,4/11,ABK,0
105,Z,21,4/11,ABK,0
96,Z,10,4/11,ABK,0
125,Z,8,4/11,ABK,2 dead
124,Z,2,4/11,ABK,0
98,Z,5,4/11,ABK,1 dead
128,Z,35,4/11,ABK,0
89,Z,1,4/11,ABK,1 dead
11,X,2,5/11,HNT,0
9,X,1,5/11,HNT,0
18,X,1,5/11,HNT,0
20,X,1,5/11,HNT,0
22,X,1,5/11,HNT,0
26,X,2,5/11,HNT,0
34,X,3,5/11,HNT,0
42,X,4,5/11,HNT,0
48,X,1,5/11,HNT,0
51,X,1,5/11,HNT,0
62,Y,1,5/11,NRR,0
71,Y,2,5/11,NRR,0
117,Y,1,5/11,NRR,0
128,Y,2,5/11,NRR,0
108,Y,2,5/11,NRR,0
128,Z,3,5/11,ABK,1 dead
110,Z,3,5/11,ABK,2 dead
120,Z,6,5/11,ABK,3 dead
111,Z,5,5/11,ABK,4 dead
11,Z,5,5/11,ABK,1 dead  
108,Z,2,5/11,ABK,1 dead
125,Z,3,5/11,ABK,3 dead
115,Z,11,5/11,ABK,2 dead
118,Z,8,5/11,ABK,4 dead
116,Z,1,5/11,ABK,3 dead
105,Z,1,5/11,ABK,0
13,Z,3,5/11,ABK,0
122,Z,1,5/11,ABK,2 dead
114,Z,1,5/11,ABK,5 dead
113,Z,1,5/11,ABK,2 dead
53,X,2,5/11,HNT,0
55,X,1,5/11,HNT,0
60,X,1,5/11,HNT,0
68,X,1,5/11,HNT,0
69,X,2,5/11,HNT,0
70,X,2,5/11,HNT,0
71,X,1,5/11,HNT,0
75,X,2,5/11,HNT,0
76,X,1,5/11,HNT,0
78,X,2,5/11,HNT,0
73,X,1,5/11,HNT,0
91,X,2,5/11,HNT,0
93,X,1,5/11,HNT,0
82,X,1,5/11,HNT,0
85,X,2,5/11,HNT,0
97,X,1,5/11,HNT,0
98,X,1,5/11,HNT,0
103,X,1,5/11,KEW,0
105,X,1,5/11,KEW,0
101,X,1,5/11,KEW,0
108,X,0,5/11,KEW,0
104,X,0,5/11,KEW,0
109,X,1,5/11,KEW,0
110,X,1,5/11,KEW,0
113,X,0,5/11,KEW,0
114,X,2,5/11,KEW,0
116,X,2,5/11,KEW,0
111,X,2,5/11,KEW,0
115,X,2,5/11,KEW,0
117,X,0,5/11,KEW,0
123,X,0,5/11,KEW,0
121,X,4,5/11,KEW,0
122,X,1,5/11,KEW,0
124,X,2,5/11,KEW,0
125,X,3,5/11,KEW,0
124,X,1,5/11,KEW,0
127,X,1,5/11,KEW,0
128,X,1,5/11,KEW,0
129,X,2,5/11,KEW,0
95,X,0,5/11,KEW,0
114,Z,1,6/11,KEW,0
8,Z,2,6/11,KEW,0
127,Z,1,6/11,KEW,0
118,Z,3,6/11,KEW,0
5,Z,0,6/11,KEW,0
9,Z,3,6/11,KEW,0
40,Z,3,6/11,KEW,0
82,Z,2,6/11,KEW,0
72,Z,1,6/11,KEW,0
66,Z,4,6/11,KEW,0
14,Z,3,6/11,KEW,0
120,Z,1,6/11,KEW,0
115,Z,3,6/11,KEW,0
116,Z,0,6/11,KEW,0
128,Z,1,6/11,KEW,0
36,Y,1,6/11,AFB,0
110,Y,1,6/11,AFB,0
112,Y,2,6/11,AFB,0
113,Y,1,6/11,AFB,0
5,Y,1,9/11,NRR,0
6,Y,1,9/11,NRR,0
24,Y,2,9/11,NRR,0
26,Y,1,9/11,NRR,0
32,Y,2,9/11,NRR,0
50,Y,1,9/11,NRR,0
51,Y,2,9/11,NRR,0
72,Y,1,9/11,NRR,0
73,Y,1,9/11,NRR,0
84,Y,1,9/11,NRR,0
93,Y,3,9/11,NRR,0
95,Y,1,9/11,NRR,0
96,Y,1,9/11,NRR,0
98,Y,1,9/11,NRR,0
121,Y,2,9/11,NRR,0
122,Y,1,9/11,NRR,0
129,Y,2,9/11,NRR,0
105,W,4,11/11,ABK,0
114,W,4,11/11,ABK,2 dead
40,W,4,11/11,ABK,0
115,W,2,11/11,ABK,1 dead
13,W,2,11/11,ABK,0
128,W,4,11/11,ABK,0
110,W,3,11/11,ABK,1 dead
29,W,2,11/11,ABK,0
111,W,1,11/11,ABK,1 dead
28,W,1,11/11,ABK,1 dead
98,W,2,11/11,ABK,2 dead
13,W,1,11/11,ABK,0
114,W,1,11/11,ABK,0
117,W,1,11/11,ABK,0
120,W,1,11/11,ABK,0
129,W,3,11/11,ABK,0
124,W,1,11/11,ABK,0
3,W,1,11/11,ABK,0
8,W,1,11/11,ABK,0
26,W,1,11/11,ABK,0
18,W,2,11/11,ABK,0
23,W,1,11/11,ABK,0
45,W,1,11/11,ABK,0
47,W,2,11/11,ABK,0
55,W,1,11/11,ABK,0
56,W,2,11/11,ABK,0
57,W,1,11/11,ABK,0
58,W,2,11/11,ABK,0
62,W,2,11/11,ABK,0
70,Y,1,7/11,AFB,0
84,Y,1,7/11,AFB,0
41,Y,3,7/11,AFB,0
56,Y,4,7/11,AFB,0
57,Y,2,7/11,AFB,0
69,Y,1,7/11,AFB,0
9,V,0,9/11,UHA,0
4,V,0,9/11,UHA,0
20,V,0,9/11,UHA,0
29,V,1,9/11,UHA,0
40,V,2,9/11,UHA,0
30,V,1,9/11,UHA,0
35,V,2,9/11,UHA,0
50,V,1,9/11,UHA,0
56,V,1,9/11,UHA,0
62,V,1,9/11,UHA,0
77,V,2,9/11,UHA,0
96,V,3,9/11,UHA,0
95,V,2,9/11,UHA,0
82,V,3,9/11,UHA,0
85,V,1,9/11,UHA,0
87,V,1,9/11,UHA,0
110,V,3,9/11,UHA,0
107,V,1,9/11,UHA,0
123,V,1,9/11,UHA,0
125,V,2,9/11,UHA,0
120,V,1,9/11,UHA,0
111,V,2,9/11,UHA,0
129,V,1,9/11,UHA,0
113,V,1,9/11,UHA,0
117,V,1,9/11,UHA,0
119,V,3,9/11,UHA,0
127,V,3,9/11,UHA,0
25,Y,0,8/11,NRR,0
48,Y,1,8/11,NRR,0
49,Y,2,8/11,NRR,0
26,Z,1,11/11,AFB,0
58,Z,3,11/11,AFB,0
29,Z,2,11/11,AFB,0
60,Z,2,11/11,AFB,0
96,Z,4,11/11,AFB,0
75,Z,2,11/11,AFB,0
28,Z,1,11/11,AFB,0
65,W,1,11/11,ABK,0
66,W,4,11/11,ABK,0
68,W,3,11/11,ABK,0
97,W,2,11/11,ABK,0
89,W,1,11/11,ABK,0
93,W,3,11/11,ABK,0
82,W,1,11/11,ABK,0
72,W,2,11/11,ABK,0
