"","F1.Vial","Day","Treatment","count.sum","num_co.sum","SCO_1.sum","SCO_2.sum","SCO_3.sum","SCO_4.sum","SCO_5.sum","DCO_1.sum","DCO_2.sum","DCO_3.sum","DCO_4.sum","DCO_5.sum","DCO_6.sum","DCO_7.sum","DCO_8.sum","DCO_9.sum","DCO_10.sum","TCO_1.sum","TCO_2.sum","TCO_3.sum","TCO_4.sum","TCO_5.sum","TCO_6.sum","TCO_7.sum","TCO_8.sum","TCO_9.sum","TCO_10.sum","QCO_1.sum","QCO_2.sum","Num_moms","fecundity","num_CO_1","num_CO_2","num_CO_3","num_CO_4","num_CO_5","num_NCO_1","num_NCO_2","num_NCO_3","num_NCO_4","num_NCO_5","rec_rate_total","rec_rate_i1","rec_rate_i2","rec_rate_i3","rec_rate_i4","rec_rate_i5"
"1","10","a","23",30,6,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.5,0,2,1,2,1,30,28,29,28,29,0.2,0,0.0666666666666667,0.0333333333333333,0.0666666666666667,0.0333333333333333
"2","10","b","23",41,51,1,1,0,0,0,1,0,0,0,3,16,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,10.25,2,21,4,19,2,39,20,37,22,39,1.24390243902439,0.0487804878048781,0.51219512195122,0.0975609756097561,0.463414634146341,0.0487804878048781
"3","10","c","23",99,70,2,2,3,3,2,5,0,0,0,14,1,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,4,24.75,10,25,22,8,2,89,74,77,91,97,0.707070707070707,0.101010101010101,0.252525252525253,0.222222222222222,0.0808080808080808,0.0202020202020202
"4","10","d","23",55,9,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.75,4,2,1,2,0,51,53,54,53,55,0.163636363636364,0.0727272727272727,0.0363636363636364,0.0181818181818182,0.0363636363636364,0
"5","10","e","23",33,25,1,0,2,2,0,1,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,8.25,2,5,5,7,2,31,28,28,26,31,0.757575757575758,0.0606060606060606,0.151515151515152,0.151515151515152,0.212121212121212,0.0606060606060606
"7","3","a","18",25,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,2,0,0,24,25,23,25,25,0.12,0.04,0,0.08,0,0
"8","3","b","18",28,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,2,0,0,0,26,26,28,28,28,0.142857142857143,0.0714285714285714,0.0714285714285714,0,0,0
"9","5","b","23",31,9,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,4,1,0,3,1,27,30,31,28,30,0.290322580645161,0.129032258064516,0.032258064516129,0,0.0967741935483871,0.032258064516129
"10","6","a","18",49,37,3,0,0,0,6,5,0,0,1,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,6.125,9,9,3,6,10,40,40,46,43,39,0.755102040816326,0.183673469387755,0.183673469387755,0.0612244897959184,0.122448979591837,0.204081632653061
"12","6","b","18",56,10,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7,2,2,2,2,2,54,54,54,54,54,0.178571428571429,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857
"13","6","b","23",37,15,1,5,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4.625,1,6,1,5,2,36,31,36,32,35,0.405405405405405,0.027027027027027,0.162162162162162,0.027027027027027,0.135135135135135,0.0540540540540541
"14","6","c","18",59,17,2,5,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7.375,3,5,0,3,2,56,54,59,56,57,0.288135593220339,0.0508474576271186,0.0847457627118644,0,0.0508474576271186,0.0338983050847458
"15","6","c","23",54,25,3,2,2,2,4,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.75,6,7,5,3,4,48,47,49,51,50,0.462962962962963,0.111111111111111,0.12962962962963,0.0925925925925926,0.0555555555555556,0.0740740740740741
"16","6","d","18",72,28,2,0,0,2,0,1,0,2,1,2,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,8,9,6,3,3,6,4,66,69,69,66,68,0.388888888888889,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.0555555555555556
"17","6","d","23",69,41,0,1,1,1,2,2,0,0,0,9,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,8.625,3,15,13,3,4,66,54,56,66,65,0.594202898550725,0.0434782608695652,0.217391304347826,0.188405797101449,0.0434782608695652,0.0579710144927536
"18","6","e","18",51,15,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6.375,4,3,1,2,1,47,48,50,49,50,0.294117647058824,0.0784313725490196,0.0588235294117647,0.0196078431372549,0.0392156862745098,0.0196078431372549
"19","6","e","23",18,30,1,1,1,1,0,1,0,0,0,2,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,2.25,2,9,5,9,1,16,9,13,9,17,1.66666666666667,0.111111111111111,0.5,0.277777777777778,0.5,0.0555555555555556
"21","7","b","18",27,36,1,2,0,0,0,2,0,0,0,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,3.375,3,16,5,8,1,24,11,22,19,26,1.33333333333333,0.111111111111111,0.592592592592593,0.185185185185185,0.296296296296296,0.037037037037037
"22","7","b","23",43,18,3,1,0,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,5.375,5,1,1,6,2,38,42,42,37,41,0.418604651162791,0.116279069767442,0.0232558139534884,0.0232558139534884,0.13953488372093,0.0465116279069767
"23","7","c","18",27,9,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3.375,1,2,2,1,0,26,25,25,26,27,0.333333333333333,0.037037037037037,0.0740740740740741,0.0740740740740741,0.037037037037037,0
"24","7","c","23",21,10,2,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.625,3,3,1,3,0,18,18,20,18,21,0.476190476190476,0.142857142857143,0.142857142857143,0.0476190476190476,0.142857142857143,0
"25","7","d","18",60,19,2,1,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,7.5,4,1,4,0,3,56,59,56,60,57,0.316666666666667,0.0666666666666667,0.0166666666666667,0.0666666666666667,0,0.05
"26","7","d","23",49,13,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,6.125,3,3,0,2,2,46,46,49,47,47,0.26530612244898,0.0612244897959184,0.0612244897959184,0,0.0408163265306122,0.0408163265306122
"27","7","e","18",90,29,4,1,2,6,1,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11.25,9,7,5,7,1,81,83,85,83,89,0.322222222222222,0.1,0.0777777777777778,0.0555555555555556,0.0777777777777778,0.0111111111111111
"28","7","e","23",31,6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.875,2,1,1,1,1,29,30,30,30,30,0.193548387096774,0.0645161290322581,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129
"30","9","b","18",34,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.5,1,2,1,1,0,33,32,33,33,34,0.147058823529412,0.0294117647058824,0.0588235294117647,0.0294117647058824,0.0294117647058824,0
"31","9","c","18",26,11,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6.5,3,3,1,0,1,23,23,25,26,25,0.423076923076923,0.115384615384615,0.115384615384615,0.0384615384615385,0,0.0384615384615385
"32","9","d","18",73,47,5,3,1,2,2,3,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,2,0,4,18.25,12,12,3,6,3,61,61,70,67,70,0.643835616438356,0.164383561643836,0.164383561643836,0.0410958904109589,0.0821917808219178,0.0410958904109589
